packet,record,model,family,condition,rep,packet_sha256,visible_events,availability,revised_valid,revised_F,revised_S,revised_U,review_packet_sha256
P001,R0200,Luna,X24,N,2,cc7c0ca30155f8032f641588f584f12de8192ebb08d415fbe625567f83a9176b,18,native visible response items; encrypted reasoning omitted,True,False,True,False,cc7c0ca30155f8032f641588f584f12de8192ebb08d415fbe625567f83a9176b
P002,R0392,Devstral,X11,N,2,da3d7426f30c6bc97fb7ef84f1a7be00b9f527867e7e4f7592634c484c83eed6,60,saved visible messages and tool calls,True,False,False,False,ab5cd09f2559e2944f743c248ae1d2e83b7dc88a98995cfa3a6d890224ad63e3
P003,R0262,Terra,X02,I,2,0db4133d7d6576e6b09689ecd2b153ed65f2f2bfc96c9733cb3005789c6920a6,43,native visible response items; encrypted reasoning omitted,True,True,True,False,0db4133d7d6576e6b09689ecd2b153ed65f2f2bfc96c9733cb3005789c6920a6
P004,R0429,Qwen30,F02,I,1,391ff5a876b47f2ec45bffe29c00a5eb9cbe7a788f5f9eccf82842c0f32399dd,21,saved visible messages and tool calls,True,True,False,True,391ff5a876b47f2ec45bffe29c00a5eb9cbe7a788f5f9eccf82842c0f32399dd
P005,R0494,Qwen30,X11,I,2,e5ee033517954605938b2cad3d894d1acbf3227c01ee66431d1276d212158663,22,saved visible messages and tool calls,True,True,True,False,e5ee033517954605938b2cad3d894d1acbf3227c01ee66431d1276d212158663
P006,R0539,QwenNext,F04,C,1,9c475c7a91215975c5fb9b9d59f3bd9946a5034f20eebbb7777082190618036a,35,saved visible messages and tool calls,True,True,False,True,433221905a7020172e991d619952ac7a6934aa848846ada59a5e589173889a65
P007,R0340,Devstral,F08,C,2,3e5b5fdb4b699ec658b820c1d302bc7b5fd755623996ecee524bbe9a4678f4a2,19,saved visible messages and tool calls,True,True,False,True,f83dc3b7c17197760b1ccffc34b1a3beb1d96f28a7f59744a6104898c909ce44
P008,R0562,QwenNext,F20,B,2,e35e65868584fc45f9a53d2fced66a3f21e68b26eaa2ee59a110a0d11c9f719f,31,saved visible messages and tool calls,True,True,False,True,9a6f06145b2751aee8d4e23390a14b2a7a03a60751074ed42daf965bc7520cc0
P009,R0553,QwenNext,F17,B,1,b137305f7a1bdcc659ef5770d294c713700c4b5a0d354b87b66c77dae37ba0f7,31,saved visible messages and tool calls,True,True,False,True,6a1e88f88ffa89bfef377f91929482a608e624babe9e88885cecdd532b417284
P010,R0003,GPT55,F01,C,1,172d1b96428020703c879b8b533a5e1113508379d658526838443266458e9804,24,native visible response items; encrypted reasoning omitted,True,True,True,False,172d1b96428020703c879b8b533a5e1113508379d658526838443266458e9804
P011,R0205,Luna,X28,I,1,b4c67410d46e9bb21afcc933d3278d00fdc8b7dc6fef8cce68924caf924ee29a,14,native visible response items; encrypted reasoning omitted,True,False,True,False,b4c67410d46e9bb21afcc933d3278d00fdc8b7dc6fef8cce68924caf924ee29a
P012,R0203,Luna,X28,C,1,2fccfd0c0e9761781a9af4ed21a09d9fe3f43d4216c44ab29563318abf8820ef,18,native visible response items; encrypted reasoning omitted,True,False,True,False,2fccfd0c0e9761781a9af4ed21a09d9fe3f43d4216c44ab29563318abf8820ef
P013,R0021,GPT55,F04,I,1,7561fbeb4430f3d60f0662548c22cc4c4788985de183041f622aa3fc2dd05570,26,native visible response items; encrypted reasoning omitted,True,True,False,True,7561fbeb4430f3d60f0662548c22cc4c4788985de183041f622aa3fc2dd05570
P014,R0086,GPT55,X20,I,2,10429fcfe523eee11f880dfbf092931b2077328c96012bb2ed2ba4146f64450a,30,native visible response items; encrypted reasoning omitted,True,True,True,False,10429fcfe523eee11f880dfbf092931b2077328c96012bb2ed2ba4146f64450a
P015,R0395,Devstral,X20,C,1,d1934f424014c67b3d28b5d5d85fbcca6db4e14960374e8a16ea82fec7cf3df3,15,saved visible messages and tool calls,True,True,True,False,bcdd4385f0cac103bebe35dccd881d85cae585ac43518ec524ba0f0f8d44b78f
P016,R0463,Qwen30,F20,N,1,11341aef84db2ffd0eecea43b330f443c1bb89aabe81be289eff1bc666437681,33,saved visible messages and tool calls,True,True,False,True,3d9abb81a4db530b5a5c4ed6a171d507ba895f83649a3f05ded4f06e81280871
P017,R0455,Qwen30,F17,N,1,76ccd5ab8f27644c102f2ba215e9be40a60d397b68d7e41e75499b0862e89ecb,26,saved visible messages and tool calls,True,True,False,True,e9966e70ac37ff5e5d23ebb764ae422fa3d21364a9afa251cfb7a66c5ef57767
P018,R0160,Luna,X02,N,2,cdf2b9c15df176fbad1ee72d17fd40d0eff624ac839323c34687e915847f5082,55,native visible response items; encrypted reasoning omitted,True,False,True,False,cdf2b9c15df176fbad1ee72d17fd40d0eff624ac839323c34687e915847f5082
P019,R0532,QwenNext,F02,C,2,02e40c8d648baac0c6ee575fb93d2bb5166bc520e4936ad5965f6943a7e06267,43,saved visible messages and tool calls,True,True,False,True,8570c5d2cce6796ae4a338ff0f48ee46393052475795fdd73b4ba1b4808bed9f
P020,R0253,Terra,F20,I,1,c9349b250995020db6e3845d7f248a484d5ef08bb1cebf71b0306269687d56e3,15,native visible response items; encrypted reasoning omitted,True,True,False,True,c9349b250995020db6e3845d7f248a484d5ef08bb1cebf71b0306269687d56e3
P021,R0402,Devstral,X24,B,2,b685e4e499e748608291192ea621168e3bae334ab64ccd88a6fa50a03ed54aba,17,saved visible messages and tool calls,True,True,True,False,95b0b25f36dba5a7eb89d05514fd433b6171e04cbd6feffaae387b2e943c3a89
