model,contrast,mode,families,lower,upper,unresolved_A,unresolved_B
GPT55,C-N,all_invalid_unresolved,13,3.8461538461538463,15.384615384615385,2,1
GPT55,C-N,preserve_observed_components,13,3.8461538461538463,11.538461538461538,1,1
GPT55,I-N,all_invalid_unresolved,13,-7.6923076923076925,7.6923076923076925,3,1
GPT55,I-N,preserve_observed_components,13,-7.6923076923076925,3.8461538461538463,2,1
GPT55,B-C,all_invalid_unresolved,13,-38.46153846153847,-23.076923076923077,2,2
GPT55,B-C,preserve_observed_components,13,-34.61538461538461,-23.076923076923077,2,1
Luna,C-N,all_invalid_unresolved,13,0.0,11.538461538461538,1,2
Luna,C-N,preserve_observed_components,13,0.0,11.538461538461538,1,2
Luna,I-N,all_invalid_unresolved,13,-15.384615384615385,0.0,2,2
Luna,I-N,preserve_observed_components,13,-15.384615384615385,0.0,2,2
Luna,B-C,all_invalid_unresolved,13,-15.384615384615385,-3.8461538461538463,2,1
Luna,B-C,preserve_observed_components,13,-15.384615384615385,-3.8461538461538463,2,1
Terra,C-N,all_invalid_unresolved,13,-3.8461538461538463,11.538461538461538,2,2
Terra,C-N,preserve_observed_components,13,-3.8461538461538463,11.538461538461538,2,2
Terra,I-N,all_invalid_unresolved,13,-3.8461538461538463,11.538461538461538,2,2
Terra,I-N,preserve_observed_components,13,-3.8461538461538463,11.538461538461538,2,2
Terra,B-C,all_invalid_unresolved,13,-26.923076923076923,-3.8461538461538463,4,2
Terra,B-C,preserve_observed_components,13,-26.923076923076923,-11.538461538461538,2,2
QwenNext,C-N,all_invalid_unresolved,13,0.0,0.0,0,0
QwenNext,C-N,preserve_observed_components,13,0.0,0.0,0,0
QwenNext,I-N,all_invalid_unresolved,13,7.6923076923076925,7.6923076923076925,0,0
QwenNext,I-N,preserve_observed_components,13,7.6923076923076925,7.6923076923076925,0,0
QwenNext,B-C,all_invalid_unresolved,13,0.0,0.0,0,0
QwenNext,B-C,preserve_observed_components,13,0.0,0.0,0,0
Qwen30,C-N,all_invalid_unresolved,13,-11.538461538461538,-11.538461538461538,0,0
Qwen30,C-N,preserve_observed_components,13,-11.538461538461538,-11.538461538461538,0,0
Qwen30,I-N,all_invalid_unresolved,13,-3.8461538461538463,0.0,1,0
Qwen30,I-N,preserve_observed_components,13,-3.8461538461538463,0.0,1,0
Qwen30,B-C,all_invalid_unresolved,13,3.8461538461538463,7.6923076923076925,1,0
Qwen30,B-C,preserve_observed_components,13,3.8461538461538463,7.6923076923076925,1,0
Devstral,C-N,all_invalid_unresolved,13,-3.8461538461538463,0.0,1,0
Devstral,C-N,preserve_observed_components,13,-3.8461538461538463,0.0,1,0
Devstral,I-N,all_invalid_unresolved,13,-7.6923076923076925,-3.8461538461538463,1,0
Devstral,I-N,preserve_observed_components,13,-7.6923076923076925,-3.8461538461538463,1,0
Devstral,B-C,all_invalid_unresolved,13,-3.8461538461538463,0.0,0,1
Devstral,B-C,preserve_observed_components,13,-3.8461538461538463,0.0,0,1
