version,scope,model,contrast,family,F,S,U,records,original_run_ids
original,all13,GPT55,C-N,F01,0.0,-0.5,0.5,R0003;R0004;R0007;R0008,79073b176698ed7cde2ac8a1;ea2f98d7628c2ebfea01b894;319c0e13453ae02d668f60d4;7120031c6885fa1df002f72c
original,all13,GPT55,C-N,F02,0.0,0.0,0.0,R0011;R0012;R0015;R0016,9d67b5c0eef200a07c2cf08f;dd8e2180fbef3fa154019ede;2779a73d8ce83a061e3a5493;845128d3d40f2c4200681eec
original,all13,GPT55,C-N,F04,0.0,0.5,-0.5,R0019;R0020;R0023;R0024,0ad4cd114e31329348ff9f4b;955dcca8de7ecd339b1005f6;6c89163b615d698f3f38b8a4;89358c88942b0fde5139b340
original,all13,GPT55,C-N,F08,0.0,1.0,-1.0,R0027;R0028;R0031;R0032,cb73939607414dd5286f1b9c;d494a6c81385527934dfc202;9d71bac986d15f15e8db3def;ccb3aac07a5ef5e5fa17c48d
original,all13,GPT55,C-N,F17,0.0,0.0,0.0,R0035;R0036;R0039;R0040,3c3177a2417522382cbe4a2a;90a4e08ac3793d52c8a48430;c1b743c5d03ec2de78df8213;3c425079f10f32ccc23effe3
original,all13,GPT55,C-N,F20,0.0,0.0,0.0,R0043;R0044;R0047;R0048,0246d71e17a341482d5c048c;974376e308b2768b4ddd1b2f;ab945638ac56cd7a3f536592;531e4c1be649717e590e4670
original,all13,GPT55,C-N,X05,0.0,0.0,0.0,R0059;R0060;R0063;R0064,38f77ba121acec1d12e81951;e83b600e2abde1b605547e2c;7f286ce8cb255da3ab5e675a;4dbdea3c1d9b933a6e657dcb
original,all13,GPT55,C-N,X06,0.0,-1.0,1.0,R0067;R0068;R0071;R0072,d498e7890a9a2e2e9fe19892;541450949261dcd40391b534;19f19dbf221e54435f25c3fa;ac01cae3ce449fb3c54b6ffe
original,all13,GPT55,C-N,X11,0.0,-1.0,1.0,R0075;R0076;R0079;R0080,f92c4a2471e64628da6afc77;afc514ac8bba0bccf906861f;d0d6eec491c1feca2ab34c65;32bedde85d91ce7f02c0e080
original,all13,GPT55,C-N,X20,0.0,0.0,0.0,R0083;R0084;R0087;R0088,b6e466800a7e91b56e7f9be0;169fb58374da74bd21996f4c;289d603259e3eb9ac47d0355;7918f1606c3c20dfc91bcde6
original,all13,GPT55,C-N,X24,0.0,0.0,0.0,R0091;R0092;R0095;R0096,fca4138da29e6c5c16b036e6;e479c9f31098126618eda6d8;82b017ae3c1f587dd27b9910;891b0e811fca4420b6c9498f
original,all13,GPT55,I-N,F01,0.0,0.0,0.0,R0005;R0006;R0007;R0008,99dcdadfc4694bb6e17dfc57;fca9a3bc6ef123aaac891d53;319c0e13453ae02d668f60d4;7120031c6885fa1df002f72c
original,all13,GPT55,I-N,F02,0.0,0.0,0.0,R0013;R0014;R0015;R0016,9a9d27b7402d11faf3cc8ca4;724d3646232fd1cf766c20b7;2779a73d8ce83a061e3a5493;845128d3d40f2c4200681eec
original,all13,GPT55,I-N,F04,0.0,0.5,-0.5,R0021;R0022;R0023;R0024,34fc1b221f11e18bdd8ef2d1;92553a8b954eba93c23d53f6;6c89163b615d698f3f38b8a4;89358c88942b0fde5139b340
original,all13,GPT55,I-N,F08,0.0,0.0,0.0,R0029;R0030;R0031;R0032,c6b4b3654020c9f2d3da55ea;238bac2c753e2b345852092b;9d71bac986d15f15e8db3def;ccb3aac07a5ef5e5fa17c48d
original,all13,GPT55,I-N,F17,0.0,0.0,0.0,R0037;R0038;R0039;R0040,ef9fced57cc95aa22e698299;b25530d90387b0ff6c82c489;c1b743c5d03ec2de78df8213;3c425079f10f32ccc23effe3
original,all13,GPT55,I-N,F20,0.0,0.0,0.0,R0045;R0046;R0047;R0048,8070236bec7eb37e50ba545e;e4d8a962f015968d1d8c6027;ab945638ac56cd7a3f536592;531e4c1be649717e590e4670
original,all13,GPT55,I-N,X05,0.0,0.0,0.0,R0061;R0062;R0063;R0064,608398c6d37f46e516e0d3f4;efcb679f0bb6ee81ca77d152;7f286ce8cb255da3ab5e675a;4dbdea3c1d9b933a6e657dcb
original,all13,GPT55,I-N,X06,0.0,0.0,0.0,R0069;R0070;R0071;R0072,af71f64ad0fc6fbac61bf89a;f4efcee7a2e3d772bea1dfa0;19f19dbf221e54435f25c3fa;ac01cae3ce449fb3c54b6ffe
original,all13,GPT55,I-N,X11,0.0,0.0,0.0,R0077;R0078;R0079;R0080,69725139b5576ba7571bbf30;60031b5b8a44b670d6f57b88;d0d6eec491c1feca2ab34c65;32bedde85d91ce7f02c0e080
original,all13,GPT55,I-N,X20,0.0,0.0,0.0,R0085;R0086;R0087;R0088,8ffc5babf5fed378ff37e6d6;947d65c50244f47af3c7941f;289d603259e3eb9ac47d0355;7918f1606c3c20dfc91bcde6
original,all13,GPT55,I-N,X24,0.0,0.0,0.0,R0093;R0094;R0095;R0096,f6587a0d3e65abcf820b9b4b;cb5a12b41e0e9da0fd47af34;82b017ae3c1f587dd27b9910;891b0e811fca4420b6c9498f
