harness,model,version,planned,unstarted,original_invalid,scored,F,S,U,F_and_S,F_fail_S_pass
MiniSWE,QwenNext,original,104,0,0,104,65,57,46,19,38
MiniSWE,QwenNext,revised,104,0,0,104,65,57,46,19,38
MiniSWE,Qwen30,original,104,0,2,102,90,38,58,32,6
MiniSWE,Qwen30,revised,104,0,2,102,90,38,58,32,6
MiniSWE,Devstral,original,104,0,2,102,95,49,52,43,6
MiniSWE,Devstral,revised,104,0,2,102,95,45,56,39,6
Codex,GPT55,original,104,0,8,96,96,65,31,65,0
Codex,GPT55,revised,104,0,8,96,96,65,31,65,0
Codex,Luna,original,104,0,7,97,78,57,39,39,18
Codex,Luna,revised,104,0,7,97,78,57,39,39,18
Codex,Terra,original,104,0,10,94,93,64,30,63,1
Codex,Terra,revised,104,0,10,94,93,64,30,63,1
Codex,Spark,original,104,23,17,64,64,34,30,34,0
Codex,Spark,revised,104,23,17,64,64,34,30,34,0
