post_hoc,harness,model,version,panel,contrast,metric,n_families,difference_pp,p_sign_flip,nonzero_families,loo_min_pp,loo_max_pp,eligible_families
True,MiniSWE,QwenNext,original,all_13,C-N,F,13,-3.8461538461538463,1.0,4,-8.333333333333332,4.166666666666666,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,QwenNext,original,all_13,C-N,S,13,0.0,1.0,3,-4.166666666666666,8.333333333333332,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,QwenNext,original,all_13,C-N,U,13,0.0,1.0,3,-8.333333333333332,4.166666666666666,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,QwenNext,revised,all_13,C-N,F,13,-3.8461538461538463,1.0,4,-8.333333333333332,4.166666666666666,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,QwenNext,revised,all_13,C-N,S,13,0.0,1.0,3,-4.166666666666666,8.333333333333332,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,QwenNext,revised,all_13,C-N,U,13,0.0,1.0,3,-8.333333333333332,4.166666666666666,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28
True,MiniSWE,QwenNext,original,without_X06,C-N,F,12,-8.333333333333332,0.75,3,-13.636363636363635,0.0,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,QwenNext,original,without_X06,C-N,S,12,0.0,1.0,3,-4.545454545454546,9.090909090909092,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,QwenNext,original,without_X06,C-N,U,12,0.0,1.0,3,-9.090909090909092,4.545454545454546,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,QwenNext,revised,without_X06,C-N,F,12,-8.333333333333332,0.75,3,-13.636363636363635,0.0,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,QwenNext,revised,without_X06,C-N,S,12,0.0,1.0,3,-4.545454545454546,9.090909090909092,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,QwenNext,revised,without_X06,C-N,U,12,0.0,1.0,3,-9.090909090909092,4.545454545454546,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24;X28
True,MiniSWE,QwenNext,original,without_reviewed_families,C-N,F,10,-5.0,1.0,2,-11.11111111111111,5.555555555555555,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,QwenNext,original,without_reviewed_families,C-N,S,10,-5.0,1.0,2,-11.11111111111111,5.555555555555555,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
True,MiniSWE,QwenNext,original,without_reviewed_families,C-N,U,10,5.0,1.0,2,-5.555555555555555,11.11111111111111,F01;F02;F04;F08;F17;F20;X02;X11;X20;X24
