harness,model,version,panel,contrast,metric,family,left_mean,right_mean,difference,left_runs,right_runs
MiniSWE,QwenNext,original,all_13,C-N,F,F01,1,1,0,91dbfb9c629e326be654c746;3a60f8a18dd75ad6ac7e4297,ec63137bfe9156daa65a26b7;9bf1ac2071f815168310cca9
MiniSWE,QwenNext,original,all_13,C-N,F,F02,1,1,0,6699c13e003bddf1a015b743;8121536f2e77a4e25a7cbe2c,e25c9c0ec6b1c7b00f7b5be4;d7859f9cda50e72c0c15fd26
MiniSWE,QwenNext,original,all_13,C-N,F,F04,1,1,0,367866c96bd84145a890d152;45e6b0c4b19ee42b758f6f3b,fa927ec958bfe4563b23255e;9b3b52a5272a5a4013cb2506
MiniSWE,QwenNext,original,all_13,C-N,F,F08,1,1,0,e066f6216859f4ea01a27e31;419204b051a6231e867d0ddf,f448ba9af0c7e87951541371;a34fc2b309f4df92e0e123a6
MiniSWE,QwenNext,original,all_13,C-N,F,F17,1,1,0,1b1936908cf6d55e5f7f7612;c8d6e945e017b06e3a9ecd48,0ddcc8f5ad6c440f896d375a;60109255eb955e7c86443dcc
MiniSWE,QwenNext,original,all_13,C-N,F,F20,1,1,0,3bcbbb3c826c24d4419fda2b;4b073213532c72384b3ce5cd,7d74824f43f9f6a90ba3378b;9280475d8efbf19e65b80605
MiniSWE,QwenNext,original,all_13,C-N,F,X02,0,0,0,c82a54b725cfa58b08a01a2c;f1efcbc5e38fa0a750bb6fbb,9109b15085f076175770461c;58984699b9e279c20510c3d6
MiniSWE,QwenNext,original,all_13,C-N,F,X05,0,0.5,-0.5,65d8ca72148627169e1fb8a3;3a2ea31f716c8504d37dc8a6,fddc499b20fd9cf814fb4c1c;1c98a361d5c5b7c7ce880444
MiniSWE,QwenNext,original,all_13,C-N,F,X06,1,0.5,0.5,64f32ecc53a9df9e82fcdae2;d05f5299bf0f2a26a0b84211,5934de62a46ceb5e21a382ef;25c55f204ad295d9ccb1cd45
MiniSWE,QwenNext,original,all_13,C-N,F,X11,0,1,-1,eabeec11f9f9b17b85aab7ac;1bf6bacf0e1d4f30d24931b3,ab449c4bfe5cc002764329c9;f0ab57741fe9d2396d7f4037
MiniSWE,QwenNext,original,all_13,C-N,F,X20,0.5,0.5,0.0,aeaef17cd4cadbe71eedf423;4a3e9986b0f06596093677cb,0b72e66630bfcb67d58225fa;44bd3a5f37dd86d56cbb8212
MiniSWE,QwenNext,original,all_13,C-N,F,X24,0.5,0,0.5,137c1847236decde933a1430;d7d2d2fcffd90dd6d2de7f78,88f658f45f857aacaa158a08;1311387801d88a8baadc3736
MiniSWE,QwenNext,original,all_13,C-N,F,X28,0,0,0,727292db1ac85e25904429d2;2cb53c0f380d038c586f1602,103550fde327e9aef5e3b646;2018c61597b2896c78999438
MiniSWE,QwenNext,original,all_13,C-N,S,F01,0,1,-1,91dbfb9c629e326be654c746;3a60f8a18dd75ad6ac7e4297,ec63137bfe9156daa65a26b7;9bf1ac2071f815168310cca9
