model,family,condition,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass,run_ids
Terra,F01,N,2,2,0,2,2,0,2,0,0,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c
Terra,F01,C,2,2,0,2,0,2,0,0,0,284c0c7565be7fb829d73ce4;2c8adbc5bc4bc9d039e84dfe
Terra,F01,I,2,2,0,2,2,0,2,0,0,451f6b33f7a9c3e0a5737763;5b2fa0a9f5ae551098cb62ec
Terra,F01,B,2,2,0,2,2,0,2,0,0,1dcef041ba7502458b85e4f5;6c25b129b3b9128dbc83d365
Terra,F02,N,2,2,0,2,0,2,0,0,0,f6a33b9de8808dc42de88244;abc78c7790d4b751fd8cc7be
Terra,F02,C,2,2,0,2,0,2,0,0,0,b1e8e2e4e6fe841956533868;29acac044a958ba8be3066a8
Terra,F02,I,2,2,0,2,0,2,0,0,0,fe9988e82f9786aaa6f6f9e7;ee8249a17a1847847fd82981
Terra,F02,B,2,2,0,2,0,2,0,0,0,f11ceecd000b4225b426df4f;901e03abedcff3b8ec01f990
Terra,F04,N,2,2,0,2,0,2,0,0,0,47113cf5ce8e50423a5cf6e0;003273dafef5c774314a5158
Terra,F04,C,2,2,0,2,0,2,0,0,0,08e54cd46cf155b0a7589bf4;e9c7575f00f390577297f6f8
Terra,F04,I,2,2,0,2,1,1,1,0,0,44ba6a8cff87e1d77511b16d;008f28add6cd45197b6ca349
Terra,F04,B,2,2,0,2,2,0,2,0,0,413a6cc24cf778e77d2701ca;e83675dc9497de269d3e660d
Terra,F08,N,2,2,0,2,0,2,0,0,0,58e27ae9a48988e9705649c7;e0f896163d8621ef6cca60d1
Terra,F08,C,2,2,0,2,1,1,1,0,0,d615a6e968062fcf51d6f37a;658cc6b17edbb4d54bef4a26
Terra,F08,I,2,2,0,2,0,2,0,0,0,518e37aa72a170f980a40110;6fab677f87e413a913cd625f
Terra,F08,B,2,2,0,2,2,0,2,0,0,ce2923bfe311b4a69659fe16;92e8ca4946dbff61399fb5cc
Terra,F17,N,2,2,0,2,2,0,2,0,0,813c1a6bdeb8691f7a2e09a9;18307164654f717e628f8801
Terra,F17,C,2,2,0,2,2,0,2,0,0,37dd660dbee5aafc77478991;16c6692dfea46b26c4f08a26
Terra,F17,I,2,2,0,2,2,0,2,0,0,783c8f6dfac0ab0634e1d0f3;9ddf7291c7c03ee9ffc909ee
Terra,F17,B,2,2,0,2,2,0,2,0,0,654223961b093cd2e19418db;ea360f810ce3a4d1355af6de
Terra,F20,N,2,2,0,2,1,1,1,0,0,15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046
Terra,F20,C,2,2,0,2,0,2,0,0,0,bbc903267bb754c4fb1233c2;9566a806691b147de62ee0a6
Terra,F20,I,2,2,0,2,0,2,0,0,0,19b405b538e5167abf33ffb3;37fcfe1701aa999909b2ab03
Terra,F20,B,2,2,0,2,0,2,0,0,0,d6e3ab0cc41bd672cf6108eb;72fb1816659f6df68a88a496
Terra,X02,N,2,2,0,2,2,0,2,0,0,91eddb7566459c421f5fcef0;214707333d12ef01e7587d99
Terra,X02,C,2,2,0,1,2,0,1,1,1,364f31375ec7eb9ff3343500;2da3f792449f456b380f1930
Terra,X02,I,2,2,0,2,2,0,2,0,0,a2ae9bef402c19c67abdc858;2536963dec45eedcb30b4bee
Terra,X02,B,2,0,2,0,0,0,0,0,0,05c73036c74f3ebac102c31c;19d021d040eeb69310b293b8
Terra,X05,N,2,2,0,2,2,0,2,0,0,66522a4e0a6640c56b8c5caf;1e8dd4dd511257bb6cfcf235
Terra,X05,C,2,2,0,2,2,0,2,0,0,a812ccccf8991c76cd3c18b5;b0bc92bac75ec4c6c53e05d1
Terra,X05,I,2,2,0,2,1,1,1,0,0,2fafc35f0cdfca70d8ec6ff7;eb7f743236649bc96fab11bc
Terra,X05,B,2,2,0,2,2,0,2,0,0,c8b31b24353918eb699b83dc;5f44d9bb279b15f4a52b5c54
Terra,X06,N,2,2,0,2,1,1,1,0,0,cbd52953072b0a49654c4bae;21aa3505eae03dbb7c2f083e
Terra,X06,C,2,2,0,2,2,0,2,0,0,1c45ce8b3fa24653a9653f98;c4bb3b5b9035da5c0423d971
Terra,X06,I,2,2,0,2,1,1,1,0,0,a5867fcbca2d4bcb85b66d10;0d93bca4348c2a768477656a
Terra,X06,B,2,2,0,2,2,0,2,0,0,e7bc8589e27f2ab4a924e540;e180933997bdf9925eb1d01e
Terra,X11,N,2,2,0,2,2,0,2,0,0,6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4
Terra,X11,C,2,2,0,2,2,0,2,0,0,53d3d98ec7c8027297c80981;ce80173624f71b3e5de6323b
Terra,X11,I,2,2,0,2,2,0,2,0,0,e2343fcd907af66473586579;fe7cb975ef119852d4bedce0
Terra,X11,B,2,2,0,2,2,0,2,0,0,4e0d06fb76a17002080a0e5c;aa37302931bebb0e8aa84bb3
Terra,X20,N,2,2,0,2,2,0,2,0,0,51af388469f211dd8a256759;82411d1b0432ca0da0d35dfd
Terra,X20,C,2,2,0,2,2,0,2,0,0,57a511776dc0d2bdb7a3e9fb;05c83b4ed4f5d471f0a62c5c
Terra,X20,I,2,2,0,2,2,0,2,0,0,169d235cf7cb54f31a163d6f;f738be227ad438672b96c6f4
Terra,X20,B,2,2,0,2,2,0,2,0,0,f1a8cbfb301e6dd865c47c5f;727e23baa815fd49bf61aa93
Terra,X24,N,2,2,0,2,2,0,2,0,0,46d81ed0aba65b11e825aaf6;6052a082affb1e12ec8f49c9
Terra,X24,C,2,2,0,2,2,0,2,0,0,9242bdbbc561fd496008d943;28c3255750ea6b80d33130df
Terra,X24,I,2,2,0,2,2,0,2,0,0,6a85f6097165b2809138a775;9561a5f1e429658272899e0f
Terra,X24,B,2,2,0,2,2,0,2,0,0,7337f315c571e66620c16902;15dd585e51f5277650976544
Terra,X28,N,2,0,2,0,0,0,0,0,0,e993b2d6a23555815acb01a2;fcd2d19db0aa3eaef13bf5b2
Terra,X28,C,2,0,2,0,0,0,0,0,0,07f7b3b95b590ecf6f370907;2531ddc5f71770a4071631f5
Terra,X28,I,2,0,2,0,0,0,0,0,0,c89c0edd3602e63e041c3323;2c03ec1a65d98974483e57fa
Terra,X28,B,2,0,2,0,0,0,0,0,0,99c50373cc98f24afc2d19ce;8c1f6468672a9d30bf29249f
Spark,F01,N,1,1,0,1,1,0,1,0,0,f767d8b50486bfe95067c88e
Spark,F01,C,2,2,0,2,0,2,0,0,0,e197bc750e980538c52bd044;69d3462189be34f291f6f890
Spark,F01,I,2,2,0,2,2,0,2,0,0,03bcfd693efa3748eb81e71f;bd28268783d44bda66dce6b3
Spark,F01,B,1,1,0,1,0,1,0,0,0,42516c9e72377f73ac0fdb26
Spark,F02,N,2,2,0,2,0,2,0,0,0,29a0bc9bf4573a02881cfffb;a9625a6feb61e76b45a1d38b
Spark,F02,C,2,2,0,2,1,1,1,0,0,63a09e201c5359fda0c8e1bf;16095fa94e31d92530fdee47
Spark,F02,I,2,2,0,2,1,1,1,0,0,053b7d23da848fed73ce2174;58c90e03447565432ffae239
Spark,F02,B,2,2,0,2,1,1,1,0,0,a1c6d61ac2724042e33def8f;24ab504b31988f1e486ac794
Spark,F04,N,2,1,1,1,0,1,0,0,0,083fe7ba40659ca3080a17d0;5504a48368ca70664f4895b6
Spark,F04,C,1,1,0,1,0,1,0,0,0,97a1688ab0e10880b5709a17
Spark,F04,I,0,0,0,0,0,0,0,0,0,
Spark,F04,B,2,2,0,2,0,2,0,0,0,62e9590617e9309166dd63f8;9ca5621109e9d2f74d7654b2
Spark,F08,N,1,1,0,1,0,1,0,0,0,ce5f7007c8492a119aa5df5c
Spark,F08,C,0,0,0,0,0,0,0,0,0,
Spark,F08,I,0,0,0,0,0,0,0,0,0,
Spark,F08,B,2,2,0,2,1,1,1,0,0,69b841f9e0d59e6e847e82ee;7d7c12a7333261be33cb3a4f
Spark,F17,N,2,2,0,2,2,0,2,0,0,f15d811b998b9ff14249c38c;9e9f978f114ad5d5832f36d1
Spark,F17,C,2,2,0,2,1,1,1,0,0,de317b91b9c25c43989bddf8;25921a6451652b9345ed330c
Spark,F17,I,2,2,0,2,2,0,2,0,0,c2c80e049ba9dabc055d89c6;1ecbbd5d5b742e02175b1cbf
Spark,F17,B,1,1,0,1,1,0,1,0,0,c1b4bab5353af8505d05f76b
Spark,F20,N,1,1,0,1,0,1,0,0,0,46fa998a13dde7fb55629305
Spark,F20,C,2,2,0,2,0,2,0,0,0,4c315b5f90874e27973d2ea7;c82e4c7aa873c04b270a03f2
Spark,F20,I,2,2,0,2,0,2,0,0,0,be7f7285dc971221b89d3c73;57d4959412735f1fe6ead3d8
Spark,F20,B,2,1,1,1,0,1,0,0,0,b638ef705fa5f1ea933df7de;6d56bd9a6cea43baadf2f2ff
Spark,X02,N,2,0,2,0,0,0,0,0,0,57cc5c45f83829abfe5fdcb8;49c91df62e4cbdce84518486
