model,condition,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass
Terra,N,26,24,2,24,16,8,16,0,0
Terra,C,26,24,2,23,15,9,14,1,1
Terra,I,26,24,2,24,15,9,15,0,0
Terra,B,26,22,4,22,18,4,18,0,0
Spark,N,22,16,6,16,8,8,8,0,0
Spark,C,20,17,3,17,8,9,8,0,0
Spark,I,18,15,3,15,9,6,9,0,0
Spark,B,21,16,5,16,9,7,9,0,0
Luna,N,26,24,2,21,13,10,11,3,2
Luna,C,26,25,1,19,13,12,7,6,6
Luna,I,26,24,2,19,16,8,11,5,5
Luna,B,26,24,2,19,15,9,10,5,5
GPT55,N,26,25,1,25,16,9,16,0,0
GPT55,C,26,24,2,24,13,11,13,0,0
GPT55,I,26,23,3,23,15,8,15,0,0
GPT55,B,26,24,2,24,21,3,21,0,0
Qwen30,N,26,26,0,24,9,16,8,2,1
Qwen30,C,26,26,0,20,10,13,7,6,3
Qwen30,I,26,25,1,23,9,15,8,2,1
Qwen30,B,26,25,1,23,10,14,9,2,1
QwenNext,N,26,26,0,17,15,11,6,9,9
QwenNext,C,26,26,0,16,15,11,5,10,10
QwenNext,I,26,26,0,17,12,13,4,9,8
QwenNext,B,26,26,0,15,15,11,4,11,11
Devstral,N,26,26,0,23,10,15,8,3,2
Devstral,C,26,25,1,24,12,13,11,1,1
Devstral,I,26,25,1,24,14,11,13,1,1
Devstral,B,26,26,0,24,13,13,11,2,2
