model,family,attempts,valid,invalid,F,S,U,FandS,Ffail,FfailSpass
Terra,F01,8,8,0,8,6,2,6,0,0
Terra,F02,8,8,0,8,0,8,0,0,0
Terra,F04,8,8,0,8,3,5,3,0,0
Terra,F08,8,8,0,8,3,5,3,0,0
Terra,F17,8,8,0,8,8,0,8,0,0
Terra,F20,8,8,0,8,1,7,1,0,0
Terra,X02,8,6,2,5,6,0,5,1,1
Terra,X05,8,8,0,8,7,1,7,0,0
Terra,X06,8,8,0,8,6,2,6,0,0
Terra,X11,8,8,0,8,8,0,8,0,0
Terra,X20,8,8,0,8,8,0,8,0,0
Terra,X24,8,8,0,8,8,0,8,0,0
Terra,X28,8,0,8,0,0,0,0,0,0
Spark,F01,6,6,0,6,3,3,3,0,0
Spark,F02,8,8,0,8,3,5,3,0,0
Spark,F04,5,4,1,4,0,4,0,0,0
Spark,F08,3,3,0,3,1,2,1,0,0
Spark,F17,7,7,0,7,6,1,6,0,0
Spark,F20,7,6,1,6,0,6,0,0,0
Spark,X02,7,0,7,0,0,0,0,0,0
Spark,X05,6,5,1,5,3,2,3,0,0
Spark,X06,7,5,2,5,5,0,5,0,0
Spark,X11,7,7,0,7,2,5,2,0,0
Spark,X20,7,7,0,7,6,1,6,0,0
Spark,X24,5,5,0,5,5,0,5,0,0
Spark,X28,6,1,5,1,0,1,0,0,0
Luna,F01,8,8,0,8,4,4,4,0,0
Luna,F02,8,8,0,8,0,8,0,0,0
Luna,F04,8,8,0,8,2,6,2,0,0
Luna,F08,8,8,0,8,1,7,1,0,0
Luna,F17,8,6,2,6,6,0,6,0,0
Luna,F20,8,8,0,8,0,8,0,0,0
Luna,X02,8,8,0,1,7,0,1,7,6
Luna,X05,8,8,0,6,8,0,6,2,2
Luna,X06,8,7,1,5,6,1,4,2,2
Luna,X11,8,8,0,8,4,4,4,0,0
Luna,X20,8,8,0,6,8,0,6,2,2
Luna,X24,8,8,0,5,8,0,5,3,3
Luna,X28,8,4,4,1,3,1,0,3,3
GPT55,F01,8,8,0,8,7,1,7,0,0
GPT55,F02,8,8,0,8,0,8,0,0,0
GPT55,F04,8,8,0,8,4,4,4,0,0
GPT55,F08,8,8,0,8,4,4,4,0,0
GPT55,F17,8,8,0,8,8,0,8,0,0
GPT55,F20,8,7,1,7,0,7,0,0,0
GPT55,X02,8,6,2,6,3,3,3,0,0
GPT55,X05,8,8,0,8,8,0,8,0,0
GPT55,X06,8,8,0,8,6,2,6,0,0
GPT55,X11,8,8,0,8,6,2,6,0,0
GPT55,X20,8,8,0,8,8,0,8,0,0
GPT55,X24,8,8,0,8,8,0,8,0,0
GPT55,X28,8,3,5,3,3,0,3,0,0
Qwen30,F01,8,8,0,8,4,4,4,0,0
Qwen30,F02,8,8,0,8,0,8,0,0,0
Qwen30,F04,8,8,0,8,0,8,0,0,0
Qwen30,F08,8,8,0,7,0,7,0,1,0
Qwen30,F17,8,8,0,7,1,6,1,1,0
Qwen30,F20,8,8,0,8,0,8,0,0,0
Qwen30,X02,8,6,2,0,5,0,0,6,5
Qwen30,X05,8,8,0,8,0,8,0,0,0
Qwen30,X06,8,8,0,8,8,0,8,0,0
Qwen30,X11,8,8,0,6,5,2,4,2,1
Qwen30,X20,8,8,0,8,7,1,7,0,0
Qwen30,X24,8,8,0,8,8,0,8,0,0
Qwen30,X28,8,8,0,6,0,6,0,2,0
QwenNext,F01,8,8,0,8,3,5,3,0,0
QwenNext,F02,8,8,0,8,4,4,4,0,0
QwenNext,F04,8,8,0,8,0,8,0,0,0
QwenNext,F08,8,8,0,8,0,8,0,0,0
QwenNext,F17,8,8,0,8,0,8,0,0,0
QwenNext,F20,8,8,0,8,0,8,0,0,0
QwenNext,X02,8,8,0,0,8,0,0,8,8
QwenNext,X05,8,8,0,3,5,3,0,5,5
QwenNext,X06,8,8,0,6,8,0,6,2,2
QwenNext,X11,8,8,0,2,6,1,1,6,5
QwenNext,X20,8,8,0,2,8,0,2,6,6
QwenNext,X24,8,8,0,3,8,0,3,5,5
QwenNext,X28,8,8,0,1,7,1,0,7,7
Devstral,F01,8,8,0,8,8,0,8,0,0
Devstral,F02,8,8,0,8,2,6,2,0,0
Devstral,F04,8,8,0,8,0,8,0,0,0
Devstral,F08,8,8,0,8,0,8,0,0,0
Devstral,F17,8,8,0,8,5,3,5,0,0
Devstral,F20,8,8,0,8,0,8,0,0,0
Devstral,X02,8,6,2,0,6,0,0,6,6
Devstral,X05,8,8,0,8,1,7,1,0,0
Devstral,X06,8,8,0,8,7,1,7,0,0
Devstral,X11,8,8,0,7,3,4,3,1,0
Devstral,X20,8,8,0,8,6,2,6,0,0
Devstral,X24,8,8,0,8,8,0,8,0,0
Devstral,X28,8,8,0,8,3,5,3,0,0
