model,panel,contrast,family_count,difference,families
GPT55,common_all_conditions_all_models,C-N,8,0.0,F01;F02;F04;F08;X05;X11;X20;X24
GPT55,common_all_conditions_all_models,I-N,8,-0.0625,F01;F02;F04;F08;X05;X11;X20;X24
GPT55,common_all_conditions_all_models,B-C,8,-0.25,F01;F02;F04;F08;X05;X11;X20;X24
GPT55,common_all_conditions_all_models,B-N,8,-0.25,F01;F02;F04;F08;X05;X11;X20;X24
GPT55,legacy_F,C-N,6,-0.16666666666666666,F01;F02;F04;F08;F17;F20
GPT55,legacy_F,I-N,6,-0.08333333333333333,F01;F02;F04;F08;F17;F20
GPT55,legacy_F,B-C,5,-0.2,F01;F02;F04;F08;F17
GPT55,legacy_F,B-N,5,-0.4,F01;F02;F04;F08;F17
GPT55,extension_X,C-N,5,0.4,X05;X06;X11;X20;X24
GPT55,extension_X,I-N,5,0.0,X05;X06;X11;X20;X24
GPT55,extension_X,B-C,5,-0.4,X05;X06;X11;X20;X24
GPT55,extension_X,B-N,6,-0.08333333333333333,X02;X05;X06;X11;X20;X24
Luna,common_all_conditions_all_models,C-N,8,0.1875,F01;F02;F04;F08;X05;X11;X20;X24
Luna,common_all_conditions_all_models,I-N,8,-0.0625,F01;F02;F04;F08;X05;X11;X20;X24
Luna,common_all_conditions_all_models,B-C,8,-0.25,F01;F02;F04;F08;X05;X11;X20;X24
Luna,common_all_conditions_all_models,B-N,8,-0.0625,F01;F02;F04;F08;X05;X11;X20;X24
Luna,legacy_F,C-N,5,0.2,F01;F02;F04;F08;F20
Luna,legacy_F,I-N,5,0.0,F01;F02;F04;F08;F20
Luna,legacy_F,B-C,5,-0.3,F01;F02;F04;F08;F20
Luna,legacy_F,B-N,5,-0.1,F01;F02;F04;F08;F20
Luna,extension_X,C-N,6,0.08333333333333333,X02;X05;X06;X11;X20;X24
Luna,extension_X,I-N,5,-0.1,X02;X05;X11;X20;X24
Luna,extension_X,B-C,6,0.0,X02;X05;X06;X11;X20;X24
Luna,extension_X,B-N,6,0.08333333333333333,X02;X05;X06;X11;X20;X24
Terra,common_all_conditions_all_models,C-N,8,0.0625,F01;F02;F04;F08;X05;X11;X20;X24
Terra,common_all_conditions_all_models,I-N,8,0.0,F01;F02;F04;F08;X05;X11;X20;X24
Terra,common_all_conditions_all_models,B-C,8,-0.3125,F01;F02;F04;F08;X05;X11;X20;X24
Terra,common_all_conditions_all_models,B-N,8,-0.25,F01;F02;F04;F08;X05;X11;X20;X24
Terra,legacy_F,C-N,6,0.16666666666666666,F01;F02;F04;F08;F17;F20
Terra,legacy_F,I-N,6,0.0,F01;F02;F04;F08;F17;F20
Terra,legacy_F,B-C,6,-0.4166666666666667,F01;F02;F04;F08;F17;F20
Terra,legacy_F,B-N,6,-0.25,F01;F02;F04;F08;F17;F20
Terra,extension_X,C-N,6,-0.08333333333333333,X02;X05;X06;X11;X20;X24
Terra,extension_X,I-N,6,0.08333333333333333,X02;X05;X06;X11;X20;X24
Terra,extension_X,B-C,5,0.0,X05;X06;X11;X20;X24
Terra,extension_X,B-N,5,-0.1,X05;X06;X11;X20;X24
