model,condition,recorded,valid,invalid,FS,U,notF_S,notF_notS
GPT55,N,26,25,1,16,9,0,0
GPT55,C,26,24,2,13,11,0,0
GPT55,I,26,23,3,15,8,0,0
GPT55,B,26,24,2,21,3,0,0
Luna,N,26,24,2,11,10,2,1
Luna,C,26,25,1,7,12,6,0
Luna,I,26,24,2,11,8,5,0
Luna,B,26,24,2,10,9,5,0
Terra,N,26,24,2,16,8,0,0
Terra,C,26,24,2,14,9,1,0
Terra,I,26,24,2,15,9,0,0
Terra,B,26,22,4,18,4,0,0
QwenNext,N,26,26,0,6,11,9,0
QwenNext,C,26,26,0,5,11,10,0
QwenNext,I,26,26,0,4,13,8,1
QwenNext,B,26,26,0,4,11,11,0
Qwen30,N,26,26,0,8,16,1,1
Qwen30,C,26,26,0,7,13,3,3
Qwen30,I,26,25,1,8,15,1,1
Qwen30,B,26,25,1,9,14,1,1
Devstral,N,26,26,0,8,15,2,1
Devstral,C,26,25,1,10,14,1,0
Devstral,I,26,25,1,11,13,1,0
Devstral,B,26,26,0,10,14,2,0
