version,scope,model,contrast,family,F,S,U,records
original,all13,GPT55,C-N,F01,0.0,-0.5,0.5,R0003;R0004;R0007;R0008
original,all13,GPT55,C-N,F02,0.0,0.0,0.0,R0011;R0012;R0015;R0016
original,all13,GPT55,C-N,F04,0.0,0.5,-0.5,R0019;R0020;R0023;R0024
original,all13,GPT55,C-N,F08,0.0,1.0,-1.0,R0027;R0028;R0031;R0032
original,all13,GPT55,C-N,F17,0.0,0.0,0.0,R0035;R0036;R0039;R0040
original,all13,GPT55,C-N,F20,0.0,0.0,0.0,R0043;R0044;R0047;R0048
original,all13,GPT55,C-N,X05,0.0,0.0,0.0,R0059;R0060;R0063;R0064
original,all13,GPT55,C-N,X06,0.0,-1.0,1.0,R0067;R0068;R0071;R0072
original,all13,GPT55,C-N,X11,0.0,-1.0,1.0,R0075;R0076;R0079;R0080
original,all13,GPT55,C-N,X20,0.0,0.0,0.0,R0083;R0084;R0087;R0088
original,all13,GPT55,C-N,X24,0.0,0.0,0.0,R0091;R0092;R0095;R0096
original,all13,GPT55,I-N,F01,0.0,0.0,0.0,R0005;R0006;R0007;R0008
original,all13,GPT55,I-N,F02,0.0,0.0,0.0,R0013;R0014;R0015;R0016
original,all13,GPT55,I-N,F04,0.0,0.5,-0.5,R0021;R0022;R0023;R0024
original,all13,GPT55,I-N,F08,0.0,0.0,0.0,R0029;R0030;R0031;R0032
original,all13,GPT55,I-N,F17,0.0,0.0,0.0,R0037;R0038;R0039;R0040
original,all13,GPT55,I-N,F20,0.0,0.0,0.0,R0045;R0046;R0047;R0048
original,all13,GPT55,I-N,X05,0.0,0.0,0.0,R0061;R0062;R0063;R0064
original,all13,GPT55,I-N,X06,0.0,0.0,0.0,R0069;R0070;R0071;R0072
original,all13,GPT55,I-N,X11,0.0,0.0,0.0,R0077;R0078;R0079;R0080
original,all13,GPT55,I-N,X20,0.0,0.0,0.0,R0085;R0086;R0087;R0088
original,all13,GPT55,I-N,X24,0.0,0.0,0.0,R0093;R0094;R0095;R0096
original,all13,GPT55,B-C,F01,0.0,0.5,-0.5,R0001;R0002;R0003;R0004
original,all13,GPT55,B-C,F02,0.0,0.0,0.0,R0009;R0010;R0011;R0012
original,all13,GPT55,B-C,F04,0.0,0.5,-0.5,R0017;R0018;R0019;R0020
original,all13,GPT55,B-C,F08,0.0,0.0,0.0,R0025;R0026;R0027;R0028
original,all13,GPT55,B-C,F17,0.0,0.0,0.0,R0033;R0034;R0035;R0036
original,all13,GPT55,B-C,X05,0.0,0.0,0.0,R0057;R0058;R0059;R0060
original,all13,GPT55,B-C,X06,0.0,1.0,-1.0,R0065;R0066;R0067;R0068
original,all13,GPT55,B-C,X11,0.0,1.0,-1.0,R0073;R0074;R0075;R0076
original,all13,GPT55,B-C,X20,0.0,0.0,0.0,R0081;R0082;R0083;R0084
original,all13,GPT55,B-C,X24,0.0,0.0,0.0,R0089;R0090;R0091;R0092
original,all13,GPT55,C-I,F01,0.0,-0.5,0.5,R0003;R0004;R0005;R0006
original,all13,GPT55,C-I,F02,0.0,0.0,0.0,R0011;R0012;R0013;R0014
original,all13,GPT55,C-I,F04,0.0,0.0,0.0,R0019;R0020;R0021;R0022
original,all13,GPT55,C-I,F08,0.0,1.0,-1.0,R0027;R0028;R0029;R0030
original,all13,GPT55,C-I,F17,0.0,0.0,0.0,R0035;R0036;R0037;R0038
original,all13,GPT55,C-I,F20,0.0,0.0,0.0,R0043;R0044;R0045;R0046
original,all13,GPT55,C-I,X05,0.0,0.0,0.0,R0059;R0060;R0061;R0062
original,all13,GPT55,C-I,X06,0.0,-1.0,1.0,R0067;R0068;R0069;R0070
original,all13,GPT55,C-I,X11,0.0,-1.0,1.0,R0075;R0076;R0077;R0078
original,all13,GPT55,C-I,X20,0.0,0.0,0.0,R0083;R0084;R0085;R0086
original,all13,GPT55,C-I,X24,0.0,0.0,0.0,R0091;R0092;R0093;R0094
original,all13,Luna,C-N,F01,0.0,-1.0,1.0,R0107;R0108;R0111;R0112
original,all13,Luna,C-N,F02,0.0,0.0,0.0,R0115;R0116;R0119;R0120
original,all13,Luna,C-N,F04,0.0,0.0,0.0,R0123;R0124;R0127;R0128
original,all13,Luna,C-N,F08,0.0,0.0,0.0,R0131;R0132;R0135;R0136
original,all13,Luna,C-N,F20,0.0,0.0,0.0,R0147;R0148;R0151;R0152
original,all13,Luna,C-N,X02,0.5,0.5,0.0,R0155;R0156;R0159;R0160
original,all13,Luna,C-N,X05,-0.5,0.0,0.0,R0163;R0164;R0167;R0168
original,all13,Luna,C-N,X06,-1.0,0.0,0.0,R0171;R0172;R0175;R0176
original,all13,Luna,C-N,X11,0.0,-0.5,0.5,R0179;R0180;R0183;R0184
original,all13,Luna,C-N,X20,-0.5,0.0,0.0,R0187;R0188;R0191;R0192
original,all13,Luna,C-N,X24,0.5,0.0,0.0,R0195;R0196;R0199;R0200
