version,scope,model,contrast,n,families,p_signflip_U,loo_min_U,loo_max_U,F,F_lo,F_hi,S,S_lo,S_hi,U,U_lo,U_hi
original,all13,GPT55,C-N,11,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24,0.8125,0.0,20.0,0.0,0.0,0.0,-9.090909090909092,-40.909090909090914,22.727272727272727,9.090909090909092,-22.727272727272727,40.909090909090914
original,all13,GPT55,I-N,11,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24,1.0,-5.0,0.0,0.0,0.0,0.0,4.545454545454546,0.0,13.636363636363635,-4.545454545454546,-13.636363636363635,0.0
original,all13,GPT55,B-C,10,F01;F02;F04;F08;F17;X05;X06;X11;X20;X24,0.125,-33.33333333333333,-22.22222222222222,0.0,0.0,0.0,30.0,5.0,55.00000000000001,-30.0,-55.00000000000001,-5.0
original,all13,GPT55,C-I,11,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24,0.625,5.0,25.0,0.0,0.0,0.0,-13.636363636363635,-45.45454545454545,18.181818181818183,13.636363636363635,-18.181818181818183,45.45454545454545
original,all13,Luna,C-N,11,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24,0.5,5.0,15.0,-9.090909090909092,-36.36363636363637,13.636363636363635,-9.090909090909092,-31.818181818181817,9.090909090909092,13.636363636363635,0.0,36.36363636363637
original,all13,Luna,I-N,10,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24,1.0,-5.555555555555555,0.0,-5.0,-15.0,0.0,10.0,0.0,25.0,-5.0,-15.0,0.0
original,all13,Luna,B-C,11,F01;F02;F04;F08;F20;X02;X05;X06;X11;X20;X24,0.5,-20.0,-5.0,4.545454545454546,-18.181818181818183,27.27272727272727,13.636363636363635,-9.090909090909092,36.36363636363637,-13.636363636363635,-36.36363636363637,9.090909090909092
original,all13,Luna,C-I,11,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24,0.5,10.0,20.0,4.545454545454546,-9.090909090909092,18.181818181818183,-18.181818181818183,-45.45454545454545,0.0,18.181818181818183,0.0,45.45454545454545
original,all13,Terra,C-N,12,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24,1.0,-4.545454545454546,9.090909090909092,-4.166666666666666,-12.5,0.0,-4.166666666666666,-29.166666666666668,16.666666666666664,4.166666666666666,-16.666666666666664,29.166666666666668
original,all13,Terra,I-N,12,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24,1.0,0.0,9.090909090909092,0.0,0.0,0.0,-4.166666666666666,-16.666666666666664,8.333333333333332,4.166666666666666,-8.333333333333332,16.666666666666664
original,all13,Terra,B-C,11,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24,0.25,-25.0,-15.0,0.0,0.0,0.0,22.727272727272727,0.0,45.45454545454545,-22.727272727272727,-45.45454545454545,0.0
original,all13,Terra,C-I,12,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24,1.0,-9.090909090909092,4.545454545454546,-4.166666666666666,-12.5,0.0,0.0,-25.0,20.833333333333336,0.0,-20.833333333333336,25.0
original,all13,QwenNext,C-N,13,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28,1.0,-8.333333333333332,4.166666666666666,-3.8461538461538463,-23.076923076923077,15.384615384615385,0.0,-19.230769230769234,15.384615384615385,0.0,-15.384615384615385,19.230769230769234
original,all13,QwenNext,I-N,13,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28,0.625,4.166666666666666,12.5,0.0,-23.076923076923077,19.230769230769234,-11.538461538461538,-23.076923076923077,0.0,7.6923076923076925,-7.6923076923076925,23.076923076923077
original,all13,QwenNext,B-C,13,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28,1.0,-4.166666666666666,4.166666666666666,-3.8461538461538463,-15.384615384615385,7.6923076923076925,0.0,-11.538461538461538,11.538461538461538,0.0,-11.538461538461538,11.538461538461538
original,all13,QwenNext,C-I,13,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28,0.625,-12.5,-4.166666666666666,-3.8461538461538463,-15.384615384615385,7.6923076923076925,11.538461538461538,-3.8461538461538463,26.923076923076923,-7.6923076923076925,-23.076923076923077,7.6923076923076925
original,all13,Qwen30,C-N,13,F01;F02;F04;F08;F17;F20;X02;X05;X06;X11;X20;X24;X28,0.375,-16.666666666666664,-8.333333333333332,-15.384615384615385,-26.923076923076923,-3.8461538461538463,3.8461538461538463,-7.6923076923076925,15.384615384615385,-11.538461538461538,-26.923076923076923,3.8461538461538463
original,all13,Qwen30,I-N,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,1.0,-9.090909090909092,0.0,-4.166666666666666,-12.5,0.0,0.0,-12.5,12.5,-4.166666666666666,-16.666666666666664,8.333333333333332
original,all13,Qwen30,B-C,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,1.0,0.0,9.090909090909092,12.5,0.0,25.0,4.166666666666666,-8.333333333333332,16.666666666666664,4.166666666666666,-8.333333333333332,16.666666666666664
original,all13,Qwen30,C-I,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,0.625,-13.636363636363635,-4.545454545454546,-12.5,-25.0,0.0,0.0,-12.5,12.5,-8.333333333333332,-25.0,8.333333333333332
original,all13,Devstral,C-N,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,0.75,-18.181818181818183,0.0,4.166666666666666,0.0,12.5,12.5,-8.333333333333332,33.33333333333333,-8.333333333333332,-33.33333333333333,16.666666666666664
original,all13,Devstral,I-N,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,0.4375,-22.727272727272727,-9.090909090909092,4.166666666666666,0.0,12.5,20.833333333333336,-8.333333333333332,50.0,-16.666666666666664,-45.83333333333333,12.5
original,all13,Devstral,B-C,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,1.0,-4.545454545454546,4.545454545454546,0.0,0.0,0.0,0.0,-12.5,12.5,0.0,-12.5,12.5
original,all13,Devstral,C-I,12,F01;F02;F04;F08;F17;F20;X05;X06;X11;X20;X24;X28,0.8125,0.0,18.181818181818183,0.0,0.0,0.0,-8.333333333333332,-37.5,20.833333333333336,8.333333333333332,-20.833333333333336,37.5
original,omitX06,GPT55,C-N,10,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24,1.0,-11.11111111111111,11.11111111111111,0.0,0.0,0.0,0.0,-30.0,30.0,0.0,-30.0,30.0
original,omitX06,GPT55,I-N,10,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24,1.0,-5.555555555555555,0.0,0.0,0.0,0.0,5.0,0.0,15.0,-5.0,-15.0,0.0
original,omitX06,GPT55,B-C,9,F01;F02;F04;F08;F17;X05;X11;X20;X24,0.25,-25.0,-12.5,0.0,0.0,0.0,22.22222222222222,0.0,44.44444444444444,-22.22222222222222,-44.44444444444444,0.0
original,omitX06,GPT55,C-I,10,F01;F02;F04;F08;F17;F20;X05;X11;X20;X24,1.0,-5.555555555555555,16.666666666666664,0.0,0.0,0.0,-5.0,-35.0,25.0,5.0,-25.0,35.0
original,omitX06,Luna,C-N,10,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24,0.5,5.555555555555555,16.666666666666664,0.0,-20.0,20.0,-10.0,-35.0,10.0,15.0,0.0,35.0
original,omitX06,Luna,I-N,10,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24,1.0,-5.555555555555555,0.0,-5.0,-15.0,0.0,10.0,0.0,25.0,-5.0,-15.0,0.0
original,omitX06,Luna,B-C,10,F01;F02;F04;F08;F20;X02;X05;X11;X20;X24,0.25,-22.22222222222222,-11.11111111111111,-5.0,-20.0,10.0,20.0,0.0,40.0,-20.0,-40.0,0.0
original,omitX06,Luna,C-I,11,F01;F02;F04;F08;F17;F20;X02;X05;X11;X20;X24,0.5,10.0,20.0,4.545454545454546,-9.090909090909092,18.181818181818183,-18.181818181818183,-45.45454545454545,0.0,18.181818181818183,0.0,45.45454545454545
