model,condition,external_interruption,session_budget_timeout,candidate_execution_exception,evaluator_lowering_incompatibility,recorded,valid,known_F,known_S,unresolved_U
GPT55,N,0,0,1,0,26,25,26,25,1
GPT55,C,0,1,1,0,26,24,26,25,1
GPT55,I,0,1,2,0,26,23,26,24,2
GPT55,B,1,0,1,0,26,24,25,24,2
Luna,N,1,0,1,0,26,24,25,24,2
Luna,C,0,0,1,0,26,25,26,25,1
Luna,I,1,0,1,0,26,24,25,24,2
Luna,B,1,0,1,0,26,24,25,24,2
Terra,N,0,0,2,0,26,24,26,24,2
Terra,C,0,0,2,0,26,24,26,24,2
Terra,I,0,0,2,0,26,24,26,24,2
Terra,B,0,2,2,0,26,22,26,24,2
QwenNext,N,0,0,0,0,26,26,26,26,0
QwenNext,C,0,0,0,0,26,26,26,26,0
QwenNext,I,0,0,0,0,26,26,26,26,0
QwenNext,B,0,0,0,0,26,26,26,26,0
Qwen30,N,0,0,0,0,26,26,26,26,0
Qwen30,C,0,0,0,0,26,26,26,26,0
Qwen30,I,0,0,0,1,26,25,25,25,1
Qwen30,B,0,0,0,1,26,25,25,25,1
Devstral,N,0,0,0,0,26,26,26,26,0
Devstral,C,0,0,0,1,26,25,25,25,1
Devstral,I,0,0,0,1,26,25,25,25,1
Devstral,B,0,0,0,0,26,26,26,26,0
