run_id,model,family,condition,file,line,attempt,finish_reason,completion_tokens
bd991b67d7c1c61e2ddda838,Qwen30,X28,N,controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/bd991b67d7c1c61e2ddda838/model-transport.jsonl,16,16,length,512
e59e29fbe4279239758600a3,Qwen30,X02,C,controlled-synthetic-final-13-qwen3-coder-native-recommended-v1/e59e29fbe4279239758600a3/model-transport.jsonl,22,22,length,512
103550fde327e9aef5e3b646,QwenNext,X28,N,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/103550fde327e9aef5e3b646/model-transport.jsonl,14,14,length,512
1311387801d88a8baadc3736,QwenNext,X24,N,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/1311387801d88a8baadc3736/model-transport.jsonl,24,24,length,512
1311387801d88a8baadc3736,QwenNext,X24,N,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/1311387801d88a8baadc3736/model-transport.jsonl,25,25,length,512
1c98a361d5c5b7c7ce880444,QwenNext,X05,N,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/1c98a361d5c5b7c7ce880444/model-transport.jsonl,18,18,length,512
2018c61597b2896c78999438,QwenNext,X28,N,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/2018c61597b2896c78999438/model-transport.jsonl,16,16,length,512
727292db1ac85e25904429d2,QwenNext,X28,C,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/727292db1ac85e25904429d2/model-transport.jsonl,12,12,length,512
782c237ce2c7a023d5e2033a,QwenNext,X11,I,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/782c237ce2c7a023d5e2033a/model-transport.jsonl,21,21,length,512
a39564cbd27af324f56c215b,QwenNext,X05,I,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/a39564cbd27af324f56c215b/model-transport.jsonl,18,18,length,512
cab377ba001db070d155b17d,QwenNext,X11,I,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/cab377ba001db070d155b17d/model-transport.jsonl,11,11,length,512
d7d2d2fcffd90dd6d2de7f78,QwenNext,X24,C,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/d7d2d2fcffd90dd6d2de7f78/model-transport.jsonl,26,26,length,512
e82feb29bc3601894e0f9424,QwenNext,X28,I,controlled-synthetic-final-13-qwen3-coder-next-native-recommended-v2/e82feb29bc3601894e0f9424/model-transport.jsonl,12,12,length,512
