model,family,condition,rep,run_id
Spark,F17,B,2,429ed159730cff7b28a76af3
Spark,F08,I,1,9c9d36ef9e8cd7072811dfde
Spark,F04,I,2,b8c02532aaa87c529c6ac063
Spark,X06,I,2,33232f91788a62ddb26bbd5d
Spark,X28,C,1,c82d2376d0e5ac34fb6f0412
Spark,X24,N,2,70c2fcfa21520955be716e0e
Spark,F04,C,2,6517319418e143bb9fd6021e
Spark,F01,N,1,c728b54b29e0cba166f39b1c
Spark,F08,N,1,1c8a47d1d8368722e7845e62
Spark,X24,I,2,12ac7b5ef6490910e2266170
Spark,X24,B,2,e01931e12c0126f0c005ec4f
Spark,F08,I,2,eae60f6fd24bf44e21f73c86
Spark,F20,N,1,82486d0c71e1340ed51e1b52
Spark,X20,B,1,1e8df4c48b795689eae397dc
Spark,F08,C,1,8d6f533c11f21db46233c3fb
Spark,X05,C,2,bd198d287ee8ac17dee7f4ae
Spark,X05,I,1,f654ad2e43515a6de0247997
Spark,X11,B,2,709f56e8ce8e7ca149781e5d
Spark,X28,I,2,999753d94cd0937b83d681d4
Spark,F08,C,2,284e86da70922d58667f5d86
Spark,F01,B,1,8307355eea3bf020335e0f69
Spark,F04,I,1,a5ef4703dd37d50ece426b0c
Spark,X02,C,1,ba01276136afb3103f68284f
