model,family,condition,run_ids,same_U,same_F,same_S
Terra,F01,N,2e0003053271d582a0c5cef4;9e904e0defd529b040b7c65c,True,True,True
Terra,F01,C,284c0c7565be7fb829d73ce4;2c8adbc5bc4bc9d039e84dfe,True,True,True
Terra,F01,I,451f6b33f7a9c3e0a5737763;5b2fa0a9f5ae551098cb62ec,True,True,True
Terra,F01,B,1dcef041ba7502458b85e4f5;6c25b129b3b9128dbc83d365,True,True,True
Terra,F02,N,f6a33b9de8808dc42de88244;abc78c7790d4b751fd8cc7be,True,True,True
Terra,F02,C,b1e8e2e4e6fe841956533868;29acac044a958ba8be3066a8,True,True,True
Terra,F02,I,fe9988e82f9786aaa6f6f9e7;ee8249a17a1847847fd82981,True,True,True
Terra,F02,B,f11ceecd000b4225b426df4f;901e03abedcff3b8ec01f990,True,True,True
Terra,F04,N,47113cf5ce8e50423a5cf6e0;003273dafef5c774314a5158,True,True,True
Terra,F04,C,08e54cd46cf155b0a7589bf4;e9c7575f00f390577297f6f8,True,True,True
Terra,F04,I,44ba6a8cff87e1d77511b16d;008f28add6cd45197b6ca349,False,True,False
Terra,F04,B,413a6cc24cf778e77d2701ca;e83675dc9497de269d3e660d,True,True,True
Terra,F08,N,58e27ae9a48988e9705649c7;e0f896163d8621ef6cca60d1,True,True,True
Terra,F08,C,d615a6e968062fcf51d6f37a;658cc6b17edbb4d54bef4a26,False,True,False
Terra,F08,I,518e37aa72a170f980a40110;6fab677f87e413a913cd625f,True,True,True
Terra,F08,B,ce2923bfe311b4a69659fe16;92e8ca4946dbff61399fb5cc,True,True,True
Terra,F17,N,813c1a6bdeb8691f7a2e09a9;18307164654f717e628f8801,True,True,True
Terra,F17,C,37dd660dbee5aafc77478991;16c6692dfea46b26c4f08a26,True,True,True
Terra,F17,I,783c8f6dfac0ab0634e1d0f3;9ddf7291c7c03ee9ffc909ee,True,True,True
Terra,F17,B,654223961b093cd2e19418db;ea360f810ce3a4d1355af6de,True,True,True
Terra,F20,N,15c0c01ed7a34d7ae8e9433a;896beffa40e815574b560046,False,True,False
Terra,F20,C,bbc903267bb754c4fb1233c2;9566a806691b147de62ee0a6,True,True,True
Terra,F20,I,19b405b538e5167abf33ffb3;37fcfe1701aa999909b2ab03,True,True,True
Terra,F20,B,d6e3ab0cc41bd672cf6108eb;72fb1816659f6df68a88a496,True,True,True
Terra,X02,N,91eddb7566459c421f5fcef0;214707333d12ef01e7587d99,True,True,True
Terra,X02,C,364f31375ec7eb9ff3343500;2da3f792449f456b380f1930,True,False,True
Terra,X02,I,a2ae9bef402c19c67abdc858;2536963dec45eedcb30b4bee,True,True,True
Terra,X05,N,66522a4e0a6640c56b8c5caf;1e8dd4dd511257bb6cfcf235,True,True,True
Terra,X05,C,a812ccccf8991c76cd3c18b5;b0bc92bac75ec4c6c53e05d1,True,True,True
Terra,X05,I,2fafc35f0cdfca70d8ec6ff7;eb7f743236649bc96fab11bc,False,True,False
Terra,X05,B,c8b31b24353918eb699b83dc;5f44d9bb279b15f4a52b5c54,True,True,True
Terra,X06,N,cbd52953072b0a49654c4bae;21aa3505eae03dbb7c2f083e,False,True,False
Terra,X06,C,1c45ce8b3fa24653a9653f98;c4bb3b5b9035da5c0423d971,True,True,True
Terra,X06,I,a5867fcbca2d4bcb85b66d10;0d93bca4348c2a768477656a,False,True,False
Terra,X06,B,e7bc8589e27f2ab4a924e540;e180933997bdf9925eb1d01e,True,True,True
Terra,X11,N,6b802d6d1b20969147597a58;67af78f764e8137e1731e7c4,True,True,True
Terra,X11,C,53d3d98ec7c8027297c80981;ce80173624f71b3e5de6323b,True,True,True
Terra,X11,I,e2343fcd907af66473586579;fe7cb975ef119852d4bedce0,True,True,True
Terra,X11,B,4e0d06fb76a17002080a0e5c;aa37302931bebb0e8aa84bb3,True,True,True
